# $Id$
# PcbXY Version 1.0
# Date: Sun 17 Oct 2010 23:37:20 GMT UTC
# Author: Richard Barlow
# Title: Power Board - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mils.  rotation in degrees.
# --------------------------------------------
C319,"sr_0603","sr-c-100n",3441.30,1978.35,0,bottom
F301,"fuse_ato_1","sr-cn-fuse-ato",5811.02,996.07,180,top
U304,"SOT25_2","sr-ic-ts321",5625.94,1600.63,180,top
U100,"SOT262","sr-ic-tb62752afug",1309.40,2913.76,270,top
Q307,"SOT23","sr-fet-p-pmv65xp",4208.87,2007.50,180,bottom
C309,"sr_0603","sr-c-10p-50v",3647.64,2002.33,90,bottom
U302,"TSSOP8","sr-ic-lm3489",3891.73,1847.44,0,bottom
C313,"1210","sr-c-22u-1210",3342.52,2188.97,270,bottom
C307,"1210","sr-c-22u-1210",4425.20,1783.47,0,bottom
C306,"1210","sr-c-22u-1210",4425.20,1964.57,0,bottom
Q308,"SOT323","sr-fet-n-sn7002w",3447.14,1887.54,180,bottom
C314,"1210","sr-c-22u-1210",3517.72,2188.97,270,bottom
D302,"DO214AC","sr-d-15mq040n",4399.61,2188.98,0,bottom
C317,"sr_0603","sr-c-100n",4090.55,1805.48,90,bottom
J204,"JUMPER4","sr-cn-header4",834.65,2086.23,270,bottom
C219,"1210","sr-c-22u-1210",1318.89,248.03,0,top
C218,"1210","sr-c-22u-1210",559.06,2838.58,180,bottom
F202,"1206","sr-fuse-r50-1206",460.63,909.46,180,top
J100,"fpc4-1.fp","sr-cn-fpc4-0.5mm-top",1037.43,2798.75,90,top
R248,"sr_0603","sr-r-10k",1127.60,389.77,180,top
R250,"sr_0603","sr-r-9k1",1342.52,497.68,270,top
R249,"sr_0603","sr-r-10k",1342.52,388.16,270,top
D208,"SOT23","sr-ic-ts2431",1208.43,507.51,90,top
Q205,"SOT23","sr-fet-n-irlml2030",1071.10,507.51,270,top
J203,"minicamcon2","sr-cn-minicamcon2w",1062.80,271.66,180,bottom
(unknown),"hole-M3","(unknown)",5023.62,1185.04,0,top
(unknown),"hole-M3","(unknown)",4850.39,2838.58,0,top
(unknown),"hole-M3","(unknown)",255.91,232.29,0,top
(unknown),"hole-M3","(unknown)",255.91,3708.66,0,top
R331,"sr_0603","sr-r-1k",3984.25,1485.87,90,bottom
C310,"sr_0603","sr-c-100n",4047.24,1485.87,90,bottom
R324,"sr_0603","sr-r-1k",3897.64,1602.36,90,bottom
Q305,"SOT323","sr-fet-p-mmbf2202pt1",4000.57,1602.03,0,bottom
C308,"sr_0603","sr-c-2n2",4240.16,1863.82,270,bottom
R327,"sr_0603","sr-r-10k",3574.80,2002.33,90,bottom
Q306,"SOT223","sr-thy-bt148w-600r",4254.01,1456.95,0,bottom
D305,"SOT23","sr-ic-ts2431",3992.57,1350.40,0,bottom
R325,"sr_0603","sr-r-30k",4165.35,1863.82,270,bottom
R329,"sr_0603","sr-r-3k3",3647.64,1888.16,90,bottom
R330,"sr_0603","sr-r-2k7",3862.20,1485.87,270,bottom
R326,"sr_0603","sr-r-3k3",3925.20,1485.87,90,bottom
R332,"sr_0603","sr-r-100k",3553.15,1886.19,90,bottom
R206,"1206","sr-r-680-1206",3118.11,3708.67,180,top
LED206,"PLCC2","sr-led-red-plcc2",5003.48,2082.67,0,top
R239,"sr_0603","sr-r-10k",2724.41,2551.19,90,top
R208,"sr_0603","sr-r-100k",3822.84,2856.66,90,top
R228,"sr_0603","sr-r-10k",2466.18,633.86,0,top
R202,"sr_0603","sr-r-10k",3185.04,3098.43,90,top
R215,"sr_0603","sr-r-100k",2885.83,2425.20,0,top
R246,"sr_0603","sr-r-10k",2852.01,3019.69,0,top
R241,"sr_0603","sr-r-330",4870.08,2082.68,90,top
X201,"xtal_smd_1","sr-xtal-8m",4181.11,2819.89,90,bottom
Q201,"SOT323","sr-fet-n-bsh121",1495.49,1184.72,270,top
C211,"sr_0603","sr-c-100n",2232.29,566.93,180,top
C203,"sr_0603","sr-c-10n",3279.53,2984.26,90,top
R221,"sr_0603","sr-r-330",468.51,3110.24,90,top
R201,"sr_0603","sr-r-10k",3279.53,3098.43,90,top
TP200,"Test_Point","sr-nothing",2602.36,814.97,0,top
R226,"sr_0603","sr-r-330",6106.30,2425.20,90,top
U204,"SO8","sr-ic-at24c01",2232.15,708.47,90,top
R230,"sr_0603","sr-r-10k",2466.18,783.47,0,top
R229,"sr_0603","sr-r-10k",2466.18,708.66,0,top
R214,"sr_0603","sr-r-100k",2913.39,3574.81,90,top
LED207,"PLCC2","sr-led-red-plcc2",5003.94,1649.61,0,top
LED201,"PLCC2","sr-led-red-plcc2",338.58,3110.24,180,top
C204,"sr_0603","sr-c-10n",3185.04,2984.26,90,top
R200,"sr_0603","sr-r-10k",2055.12,3665.36,90,top
D202,"SOT23","sr-d-mmbz5v6al",456.25,2334.65,270,top
F203,"1206","sr-fuse-r50-1206",460.63,1015.75,180,top
R323,"sr_0603","sr-r-330",6106.30,2248.04,90,top
R232,"sr_0603","sr-r-10k",2763.78,3111.85,90,top
D201,"SOT23","sr-d-mmbz5v6al",622.50,1574.81,90,top
D200,"SOT23","sr-d-mmbz5v6al",464.12,1574.81,270,top
